id,time,timestamp,strategy,asset,side,price,size,pnl,status,confidence,edge,latency,note
C5LEG-1779223006-ETH,22:37:33,1779223053.2672782,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.02,0.0,leg1 expiry | YES only | ref=2113.22 final=2117.07 | fee=0.00 slip=0.15
C5LEG-1779222993-BTC,22:37:19,1779223039.0356643,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76852.67 final=76961.29 | fee=0.00 slip=0.15
C5LEG-1779222981-SOL,22:37:06,1779223026.8459249,coin5min,SOL,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.37 final=84.47 | fee=0.00 slip=0.15
C5LEG-1779222958-ETH,22:36:46,1779223006.26269,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2114.34 final=2116.59 | fee=0.00 slip=0.15
C5LEG-1779222948-BTC,22:36:33,1779222993.5139184,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76903.39 final=76958.48 | fee=0.00 slip=0.15
C5LEG-1779222936-SOL,22:36:21,1779222981.6859024,coin5min,SOL,YES_LEG,0.504,2.5,2.31,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.41 final=84.47 | fee=0.00 slip=0.15
C5LEG-1779222911-ETH,22:35:58,1779222958.3664982,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2114.43 final=2116.51 | fee=0.00 slip=0.15
C5LEG-1779222901-BTC,22:35:48,1779222948.3361242,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76903.73 final=76958.48 | fee=0.00 slip=0.15
C5LEG-1779222887-SOL,22:35:35,1779222935.9336011,coin5min,SOL,YES_LEG,0.5144,2.82,2.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.37 final=84.44 | fee=0.00 slip=0.15
C5LEG-1779222865-ETH,22:35:11,1779222911.336514,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2113.10 final=2116.07 | fee=0.00 slip=0.15
C5LEG-1779222855-BTC,22:35:01,1779222901.0523646,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76857.40 final=76946.52 | fee=0.00 slip=0.15
